text,label,label_text
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,bearish
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,bearish
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,bearish
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,bearish
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,bearish
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,bearish
$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,bearish
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,bearish
$GTT: Cowen cuts to Market Perform,0,bearish
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,bearish
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,bearish
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,bearish
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,bearish
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,bearish
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,bearish
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,bearish
$MDCO: Oppenheimer cuts to Perform,0,bearish
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,bearish
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,bearish
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,bearish
$NCBS: Hovde Group cuts to Market Perform,0,bearish
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,bearish
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,bearish
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,bearish
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,bearish
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0,bearish
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,0,bearish
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0,bearish
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0,bearish
2U downgraded to sector weight from overweight at KeyBanc Capital,0,bearish
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0,bearish
AMC Networks price target cut to $35 from $39 at Imperial Capital,0,bearish
American Software downgraded to neutral from buy at B. Riley FBR,0,bearish
Analysts question Silicon Motion's margin outlook,0,bearish
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0,bearish
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0,bearish
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,0,bearish
AT&T shares sink after MoffettNathanson downgrade,0,bearish
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0,bearish
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0,bearish
Autodesk downgraded to underweight from neutral at JPMorgan,0,bearish
BAML warns of profit pressure for Hormel,0,bearish
Barclays cools on Molson Coors,0,bearish
Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,bearish
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0,bearish
Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,bearish
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0,bearish
