text,text_bert,sentiment,label,pred_label
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,BYND_TICKER - JPMorgan reels in expectations on Beyond Meat,negative,0,negative
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,CCL_TICKER RCL_TICKER - Nomura points to bookings weakness at Carnival and Royal Caribbean,negative,0,negative
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb","CX_TICKER - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook",negative,0,negative
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,ESS_TICKER BTIG Research cuts to Neutral,negative,0,negative
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,FNKO_TICKER - Funko slides after Piper Jaffray PT cut,negative,0,negative
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,FTI_TICKER - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank,negative,0,negative
$GM - GM loses a bull https://t.co/tdUfG5HbXy,GM_TICKER - GM loses a bull,negative,0,negative
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,GM_TICKER Deutsche Bank cuts to Hold,negative,0,negative
$GTT: Cowen cuts to Market Perform,GTT_TICKER Cowen cuts to Market Perform,negative,0,negative
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,HNHAF_TICKER HNHPD_TICKER AAPL_TICKER - Trendforce cuts iPhone estimate after Foxconn delay,negative,0,negative
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,HOG_TICKER - Moody s warns on Harley-Davidson,negative,0,negative
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU","HXL_TICKER - Citing aero ties, Wells slashes PT on Hexcel",negative,0,negative
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,$I - Intelsat cut to Market Perform at Raymond James,negative,0,negative
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,KRG_TICKER Compass Point cuts to Sell,negative,0,negative
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,LK_TICKER - Muddy Waters goes short Luckin Coffee,negative,0,negative
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,MANT_TICKER - ManTech downgraded ahead of difficult comps,negative,0,negative
$MDCO: Oppenheimer cuts to Perform,MDCO_TICKER Oppenheimer cuts to Perform,negative,0,negative
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,MPLX_TICKER MPC_TICKER - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review,negative,0,negative
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,MSGN_TICKER - Imperial downgrades MSG Networks amid sports-free airwaves,negative,0,negative
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,MTLS_TICKER - Piper hits the Materialise sidelines,negative,0,negative
$NCBS: Hovde Group cuts to Market Perform,NCBS_TICKER Hovde Group cuts to Market Perform,negative,0,negative
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,NFLX_TICKER - New Netflix bear steps out,negative,0,neutral
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,SHOP_TICKER - Shopify loses a bull,negative,0,negative
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,STAY_TICKER - Nomura Instinet loses confidence in Extended Stay America,negative,0,negative
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,TWLO_TICKER - Twilio gets Street-low target on virus risk,negative,0,negative
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,VCLT_TICKER SPLB_TICKER IGLB_TICKER - Guggenheim s Minerd sees more gloom ahead in stocks,negative,0,negative
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,VIAC_TICKER VIACA_TICKER FOX_TICKER - MoffettNathanson expects NFL TV costs to skyrocket,negative,0,negative
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,VIAC_TICKER Barrington Research cuts to Mkt Perform,negative,0,negative
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,XLNX_TICKER - Mizuho cuts XLNX target on near-term headwinds,negative,0,negative
2U downgraded to sector weight from overweight at KeyBanc Capital,2U downgraded to sector weight from overweight at KeyBanc Capital,negative,0,negative
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,Alphabet and Facebook price targets cut at Barclays on weaker ad outlook,negative,0,negative
AMC Networks price target cut to $35 from $39 at Imperial Capital,AMC Networks price target cut to $35 from $39 at Imperial Capital,negative,0,negative
American Software downgraded to neutral from buy at B. Riley FBR,American Software downgraded to neutral from buy at B. Riley FBR,negative,0,negative
Analysts question Silicon Motion's margin outlook,Analysts question Silicon Motion s margin outlook,negative,0,negative
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,negative,0,negative
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,negative,0,negative
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,AT T downgraded by MoffettNathanson to sell on concern wireless can t carry the whole company,negative,0,negative
AT&T shares sink after MoffettNathanson downgrade,AT T shares sink after MoffettNathanson downgrade,negative,0,negative
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling","AT T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",negative,0,negative
